"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"896","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 15:19:13,FALSE,NA,"1368219625851219968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nottora2",176,TRUE,FALSE,NA,NA
"897","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 15:14:30,FALSE,NA,"1368218438846590978",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","dr4kk0nnys",176,TRUE,FALSE,NA,NA
"898","This road trip along the historic Via Emilia passes many of the most interesting places #inEmiliaRomagna #Italy… https://t.co/2U3YEgAtCw",FALSE,1,NA,2021-03-06 14:43:39,TRUE,NA,"1368210673046589440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","velvetescape",0,FALSE,FALSE,NA,NA
"899","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 14:43:00,FALSE,NA,"1368210509481144325",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kakela25",176,TRUE,FALSE,NA,NA
"900","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 14:36:50,FALSE,NA,"1368208957609832449",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","fsoterov",176,TRUE,FALSE,NA,NA
"901","@mdnij34 I always wanted to live somewhere that was warm 365, but after a trip to Italy a few years ago Venice, Flo… https://t.co/KSnyTXcZt4",FALSE,1,"mdnij34",2021-03-06 14:32:23,TRUE,"1368191024707821569","1368207840314355719","558180233","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BethFullerton2",0,FALSE,FALSE,NA,NA
"902","RT @Art_With_Kat: My biggest piece (and first large piece) I ever did. 5ft by 7ft. Made in 2013 after my trip to #Rome #Italy. #painting #w…",FALSE,0,NA,2021-03-06 14:26:42,FALSE,NA,"1368206407326171136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chriscoccolith",1,TRUE,FALSE,NA,NA
"903","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 14:18:55,FALSE,NA,"1368204451819978753",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","0RGANICB0T",176,TRUE,FALSE,NA,NA
"904","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 14:14:08,FALSE,NA,"1368203247526281223",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MaroSaucedo",176,TRUE,FALSE,NA,NA
"905","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 14:08:33,FALSE,NA,"1368201839238393856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LuisaMariaAraiz",176,TRUE,FALSE,NA,NA
"906","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 14:08:01,FALSE,NA,"1368201705725325324",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jstello_geoecol",176,TRUE,FALSE,NA,NA
"907","@beatingblog We booked a camping trip in Italy which is free changes/canx if we need it, and the same week booked a… https://t.co/HUbzVFaJDO",FALSE,2,"beatingblog",2021-03-06 14:06:37,TRUE,"1368146416028315650","1368201355047936004","194615788","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mrsjotaylor",0,FALSE,FALSE,NA,NA
"908","RT @silentknight4g: @tatereeves No rush, take your time, just flooding streets and no drinking water here. Maybe take a trip to Italy for s…",FALSE,0,NA,2021-03-06 14:05:57,FALSE,NA,"1368201186030084107",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ThirdPartyAsap",1,TRUE,FALSE,NA,NA
"909","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 14:02:09,FALSE,NA,"1368200230110302209",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WhoaItsJoel",176,TRUE,FALSE,NA,NA
